postbox_osm_id,postbox_lat,postbox_lon,postbox_tags,mapillary_image_id,image_path,image_lat,image_lon,compass_angle,captured_at_epoch_ms,bearing_diff_deg
node/268788417,52.6192791,13.2392248,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Sa 17:00; Su 12:30"", ""obstacle:parking"": ""yes"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Ruppiner Ch. 309, 13503 Berlin""}",1097714095713091,images_filtered/postbox_node_268788417_img_1097714095713091.jpg,52.6190796,13.2396362,306,1749631656604,2.6
node/271732920,52.4790346,13.3536297,"{""amenity"": ""post_box"", ""check_date"": ""2022-08-08"", ""collection_times"": ""Mo-Fr 16:30,17:30, Sa 16:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Sachsendamm 1, 10829 Berlin""}",1142760794714030,images_filtered/postbox_node_271732920_img_1142760794714030.jpg,52.4792328,13.3538639,250,1763541813071,34.3
node/274864208,52.52548,13.1968424,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:45; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Pichelsdorfer Str. 125, 13595 Berlin"", ""wheelchair"": ""yes""}",178748570801676,images_filtered/postbox_node_274864208_img_178748570801676.jpg,52.525446899972,13.1968472,0,1564402720000,5.0
node/274912115,52.5496063,13.1313669,"{""amenity"": ""post_box"", ""collection_times"": ""Sa 13:00; Mo-Fr 15:00"", ""obstacle:parking"": ""yes"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Seegefelder Weg 456, 13591 Berlin""}",312734836866224,images_filtered/postbox_node_274912115_img_312734836866224.jpg,52.549589532476,13.13164925204,294.98523161852,1634728119251,19.4
node/274912115,52.5496063,13.1313669,"{""amenity"": ""post_box"", ""collection_times"": ""Sa 13:00; Mo-Fr 15:00"", ""obstacle:parking"": ""yes"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Seegefelder Weg 456, 13591 Berlin""}",392320365774258,images_filtered/postbox_node_274912115_img_392320365774258.jpg,52.5496151811,13.131562331704,295.88607311335,1634728120751,30.2
node/277364442,52.4947238,13.3462774,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:15; Sa 16:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Martin-Luther-Str. 35, 10779 Berlin""}",1024608497946852,images_filtered/postbox_node_277364442_img_1024608497946852.jpg,52.494616399972,13.3462124,0,1559928623000,20.2
node/278445956,52.56647,13.5130362,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:00; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Falkenberger Ch. 87, 13051 Berlin""}",1079303556956493,images_filtered/postbox_node_278445956_img_1079303556956493.jpg,52.5665108,13.5133718,239.683,1748590739000,19.0
node/280053186,52.4798433,13.305483,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""ref"": ""Forckenbeckstr. 9-13, 14199 Berlin""}",1414574198881201,images_filtered/postbox_node_280053186_img_1414574198881201.jpg,52.479861111111,13.305344444444,130,1440331415000,28.1
node/280842517,52.5265527,13.335573,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:30, Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Ottostr. 22, 10555 Berlin""}",131860002259712,images_filtered/postbox_node_280842517_img_131860002259712.jpg,52.5265933,13.33525331,96.554354190826,1424869189000,5.2
node/282614544,52.5340966,13.197987,"{""amenity"": ""post_box"", ""check_date"": ""2025-07-04"", ""check_date:collection_times"": ""2025-07-04"", ""collection_times"": ""Mo-Fr 17:00; Sa 14:00; Su 09:30"", ""count"": ""2"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Klosterstr. 3, 13581 Berlin"", ""toilets:wheelchair"": ""no"", ""wheelchair"": ""yes""}",204214454864952,images_filtered/postbox_node_282614544_img_204214454864952.jpg,52.534,13.197861111111,82.46948348078,1562416982000,44.1
