osm_id,lat,lon,tags
node/84644786,52.5053537,13.3813925,"{""amenity"": ""post_box"", ""check_date"": ""2026-06-12"", ""collection_times"": ""Mo-Fr 17:15; Sa 14:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Stresemannstr. 92, 10963 Berlin"", ""wheelchair"": ""yes""}"
node/139665595,52.5410346,13.1466038,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""ref"": ""Heidebergplan 3, 13591 Berlin""}"
node/109439480,52.587371,13.3248544,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2023-09-26"", ""collection_times"": ""Mo-Fr 14:00,16:00; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Am Nordgraben/Eichborndamm, 13437 Berlin""}"
node/89275193,52.5132158,13.406821,"{""amenity"": ""post_box"", ""check_date"": ""2025-04-01"", ""collection_times"": ""Mo-Fr 15:00,17:00; Sa 16:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Fischerinsel 6, 10179 Berlin"", ""wheelchair"": ""yes""}"
node/151012676,52.5137981,13.5546334,"{""amenity"": ""post_box"", ""check_date"": ""2020-11-01"", ""check_date:collection_times"": ""2024-01-07"", ""collection_times"": ""Mo-Fr 15:15; Sa 13:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Oberfeldstraße 196, 12683 Berlin""}"
node/151012580,52.5279419,13.5391019,"{""amenity"": ""post_box"", ""check_date"": ""2026-04-28"", ""check_date:collection_times"": ""2026-04-28"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Helene-Weigel-Platz 5, 12681 Berlin""}"
node/186467347,52.416142,13.5793661,"{""amenity"": ""post_box"", ""brand"": ""Deutsche Post"", ""collection_times"": ""Mo-Fr 17:45; Sa 13:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""postal_code"": ""12527"", ""ref"": ""Wassersportallee 24, 12527 Berlin""}"
node/203620739,52.5420278,13.5424031,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 14:15,18:00,20:45; Sa 14:15; Su 09:45,20:45"", ""covered"": ""yes"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""ref"": ""Märkische Allee 176-178, 12681 Berlin""}"
node/254128142,52.4919239,13.3192956,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-04-01"", ""collection_times"": ""Mo-Fr 17:00; Sa 16:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Hohenzollerndamm 188, 10713 Berlin""}"
node/254307066,52.5025343,13.3245777,"{""access"": ""yes"", ""addr:floor"": ""0"", ""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:15,16:30,17:30,18:30; Sa 15:45"", ""covered"": ""no"", ""drive_through"": ""no"", ""indoor"": ""no"", ""level"": ""0"", ""material"": ""steel"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""pillar"", ""ref"": ""Kurfürstendamm 33, 10719 Berlin"", ""source"": ""survey""}"
node/254862379,52.4658127,13.4649436,"{""amenity"": ""post_box"", ""check_date"": ""2020-08-03"", ""collection_times"": ""Mo-Fr 14:00, 16:30; Sa 14:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""lamp"", ""postal_code"": ""12057"", ""ref"": ""Neuköllnische Allee 83, 12057 Berlin""}"
node/255327998,52.5188086,13.2769374,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2025-03-18"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Spandauer Damm 130, 14050 Berlin""}"
node/257981428,52.524102,13.4798047,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 16:45; Sa 12:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Möllendorffstr. 46-52, 10367 Berlin""}"
node/258889259,52.5659984,13.5787758,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 15:45, Sa 13:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Havemannstr./Rabensteiner Str., 12689 Berlin""}"
node/261736987,52.5177367,13.5060746,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-07-08"", ""collection_times"": ""Mo-Fr 17:15; Sa 11:45"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Gotlindestr. 17, 10365 Berlin""}"
node/262353465,52.5150759,13.462477,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-06-16"", ""collection_times"": ""Mo-Fr 17:30; Sa 14:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Frankfurter Allee 41, 10247 Berlin""}"
node/263704561,52.5108683,13.5041272,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2025-05-20"", ""collection_times"": ""Mo-Fr 16:30, Sa 11:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Frankfurter Allee 281, 10317 Berlin""}"
node/263704567,52.5145065,13.4681121,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2026-03-17"", ""collection_times"": ""Mo-Fr 17:30; Sa 14:30; Su 09:00"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Frankfurter Allee 71-77, 10247 Berlin""}"
node/266629573,52.5124358,13.5890024,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 14:00,16:45, Sa 14:00; PH off"", ""drive_through"": ""no"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Heinrich-Grüber-Str. (Bus-Bahnhof), 12621 Berlin""}"
node/260919529,52.5259714,13.3985329,"{""access"": ""yes"", ""addr:floor"": ""0"", ""amenity"": ""post_box"", ""check_date:collection_times"": ""2024-02-10"", ""collection_times"": ""Mo-Fr 15:30,17:00,21:15; Sa 14:00; Su 21:15"", ""colour"": ""yellow"", ""covered"": ""no"", ""direction"": ""346"", ""drive_through"": ""no"", ""indoor"": ""no"", ""level"": ""0"", ""material"": ""steel"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""pillar"", ""ref"": ""Große Hamburger Str. 5-11, 10115 Berlin"", ""source"": ""survey"", ""support"": ""ground""}"
node/267183891,52.5360317,13.427199,"{""amenity"": ""post_box"", ""collection_times"": ""Mo-Fr 17:15; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""ref"": ""Winsstr. 45, 10405 Berlin""}"
node/267390138,52.5697832,13.2072664,"{""amenity"": ""post_box"", ""check_date:collection_times"": ""2024-12-15"", ""collection_times"": ""Mo-Fr 16:00; Sa 12:30"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""ref"": ""Birkenweg 28, 13587 Berlin""}"
node/268220702,52.4724411,13.4461634,"{""amenity"": ""post_box"", ""check_date"": ""2026-05-04"", ""check_date:collection_times"": ""2026-05-04"", ""collection_times"": ""Mo-Fr 16:00; Sa 13:15"", ""operator"": ""Deutsche Post"", ""operator:wikidata"": ""Q157645"", ""operator:wikipedia"": ""de:Deutsche Post AG"", ""post_box:type"": ""pillar"", ""postal_code"": ""12055"", ""ref"": ""Böhmische Straße 58, 12055 Berlin""}"
