mapillary_image_id,lat,lon,confidence,image_path,osm_status,osm_id
1033591466314750,52.49038169631,13.357412880299,0.3453,images/1033591466314750.jpg,MISSING,
1113780222469167,52.490453799972,13.402202,0.3472,images/1113780222469167.jpg,MISSING,
1028392298648136,52.494157156956,13.360908720655,0.402,images/1028392298648136.jpg,MISSING,
1019952015206765,52.498048099972,13.3565924,0.4445,images/1019952015206765.jpg,MISSING,
1067871290368780,52.497014,13.36171,0.7039,images/1067871290368780.jpg,MISSING,
1020484578960192,52.4978821,13.3888835,0.4445,images/1020484578960192.jpg,MISSING,
1008169741539196,52.498882999693,13.385643716914,0.5017,images/1008169741539196.jpg,MISSING,
1029333595427733,52.503273778244,13.353161809754,0.3184,images/1029333595427733.jpg,MISSING,
1546267402879847,52.503193861272,13.353191702252,0.3036,images/1546267402879847.jpg,MISSING,
1138082103365381,52.5038503,13.366552799972,0.4335,images/1138082103365381.jpg,MISSING,
1059380631884169,52.506168,13.429815127628,0.4517,images/1059380631884169.jpg,MISSING,
1490826527917828,52.509792626753,13.361814932023,0.4715,images/1490826527917828.jpg,MISSING,
769664170382176,52.530523971703,13.426010962588,0.4864,images/769664170382176.jpg,MISSING,
1142893173777698,52.535499343697,13.416842836899,0.4491,images/1142893173777698.jpg,MISSING,
1311539529298113,52.543179304388,13.359107365844,0.6324,images/1311539529298113.jpg,MISSING,
